,번호,제목,작성자,좋아요,주소
0,추천,[번역] INFJ 유형의 두뇌 활동,카테르지나 INFJ 7w6,16,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&menuid=14&boardtype=L&page=1&articleid=561689
1,추천,INFJ와의 연애에 성공하기까지,C ENFJ,12,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&menuid=14&boardtype=L&page=1&articleid=560696
2,추천,이러다 enfj에 선입견 생길듯,카뮈,11,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&menuid=14&boardtype=L&page=1&articleid=563486
3,564473,인프제님들 질문!,오예오ENTP 3w4 sxso,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=14&boardtype=L&articleid=564473&referrerAllArticles=false
4,564463,내면의 평화를 위해..,래INFJ,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=14&boardtype=L&articleid=564463&referrerAllArticles=false
5,564437,enfj 분들 서프라이즈 하는거 좋아하시나여?,진정한 entj,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=14&boardtype=L&articleid=564437&referrerAllArticles=false
6,564351,생각이 많을 땐 레몬사탕이지!,넬리치 ENFJ 9w1,8,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=14&boardtype=L&articleid=564351&referrerAllArticles=false
7,564344,엔프제 남자가,cdy3674,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=14&boardtype=L&articleid=564344&referrerAllArticles=false
8,564338,엔프제의 손절 회로,넬리치 ENFJ 9w1,4,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=14&boardtype=L&articleid=564338&referrerAllArticles=false
9,564327,엔프제랑친해지고싶어요,호야 infp 4w5,2,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=14&boardtype=L&articleid=564327&referrerAllArticles=false
10,564242,"첫연애 1년 하고 이별한지 4개월차, 절친도 잃은 지금 드는 생각",민겨울INFJ,5,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=14&boardtype=L&articleid=564242&referrerAllArticles=false
11,564212,방금 경험한 저(enfj)의 장점,ENFJ 2w1 냐옹,5,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=14&boardtype=L&articleid=564212&referrerAllArticles=false
12,564196,Enfj 연락만 하는 남자애한테,Alalkd enxx 2w8,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=14&boardtype=L&articleid=564196&referrerAllArticles=false
