,번호,제목,작성자,좋아요,주소
0,추천,INFP 여러분 존재해줘서 고맙습니다.,산타오빠,23,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&menuid=18&boardtype=L&page=1&articleid=563708
1,추천,인프피분들 주목!! 눈물참는법,소라게 ENFJ,10,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&menuid=18&boardtype=L&page=1&articleid=562437
2,추천,인생에서 가장 중요한 건 사람을 잘 만나야 한다고 생각한다.,레오나,9,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&menuid=18&boardtype=L&page=1&articleid=563183
3,564446,I/E NFP 여자랑 잘해보고싶어요!,INTJ Jam,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=18&boardtype=L&articleid=564446&referrerAllArticles=false
4,564441,[끄적끄적] 오늘은..,레오나,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=18&boardtype=L&articleid=564441&referrerAllArticles=false
5,564420,전 어떤 모임이든 친한 사람이 꼭 있어야해요..,토성ENFP 4w3,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=18&boardtype=L&articleid=564420&referrerAllArticles=false
6,564408,이렇게 글을 쓰니까 마음이 나은 거 같다.(앞으로도 조회수가 적어지길),레오나,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=18&boardtype=L&articleid=564408&referrerAllArticles=false
7,564398,엔프피분들 도와주세요!,isfp깃,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=18&boardtype=L&articleid=564398&referrerAllArticles=false
8,564392,[생각] 내가 바라던 행복한 생각.,레오나,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=18&boardtype=L&articleid=564392&referrerAllArticles=false
9,564382,[일기] 가끔은 아주 가끔은 행운이 오는 건가.,레오나,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=18&boardtype=L&articleid=564382&referrerAllArticles=false
