,번호,제목,작성자,좋아요,주소
0,추천,INTJ - ENFP,사이INTJ,19,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&menuid=12&boardtype=L&page=1&articleid=563024
1,추천,나(intj)랑 결국 친해진 사람들을 보면.,snp intj,16,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&menuid=12&boardtype=L&page=1&articleid=563713
2,추천,ntj,넬리치 ENFJ 9w1,11,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&menuid=12&boardtype=L&page=1&articleid=562822
3,564443,인티제 제 이상형 맞는것같아요 인정 할께요,엔팁으로 체인지,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=564443&referrerAllArticles=false
4,564434,남자들 은 연인 생일,diamond13,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=564434&referrerAllArticles=false
5,564430,ENTJ 질문있어요,구름이참예뻐요 ESTP,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=564430&referrerAllArticles=false
6,564406,ENTJ 언니를 둔 ISFJ 입니다 ㅠ,ISFJ우드스탁 9w1,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=564406&referrerAllArticles=false
7,564401,INTJ 연애,isfj 남ㅈ,2,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=564401&referrerAllArticles=false
8,564387,entj 질문 (총 10개),오우이 istp 질문,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=564387&referrerAllArticles=false
9,564377,intj 남성분들 질문!!,entj구야 3w4,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=564377&referrerAllArticles=false
10,564356,남자 엔티제분들께 질문이요~,xsfj루룽,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=564356&referrerAllArticles=false
11,564269,ENTJ 남자와 이별,으니유,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=564269&referrerAllArticles=false
12,564227,INTJ 여자 질문 받고 싶습니다,레지 INTJ 4W5,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=564227&referrerAllArticles=false
13,564175,"intj인 저, sf엄마와 너무 안 맞아요.",헤세이데INTJ,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=564175&referrerAllArticles=false
14,564160,ENTJ 랑 친해지는방법..,필연적환상 Entj 3w4,2,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=564160&referrerAllArticles=false
15,564157,아 내가 지금 많이 힘들구나,혜원 INTJ,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=564157&referrerAllArticles=false
16,564143,INTJ 질문 받고 싶습니다,사이INTJ,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=564143&referrerAllArticles=false
17,564119,내가 내 물건을 고를 자유,JUflux intj 3w2,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=564119&referrerAllArticles=false
18,564118,인티제 고앵이도 아니고,엔팁으로 체인지,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=564118&referrerAllArticles=false
19,564065,Entj랑 친해지려면?,Entj 궁금,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=564065&referrerAllArticles=false
20,563995,엔티제의 계산적인 모습,엥뿌삔데요,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=563995&referrerAllArticles=false
