,번호,제목,작성자,좋아요,주소
0,추천,인팁 엔팁은 서로 말하지않은 부분을 알아서 잘통한다고,홍삼먹음 엔tp,9,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&menuid=17&boardtype=L&page=1&articleid=563869
1,추천,사람은 역시 일을해야 자존감이올라가는거같아요!,찐 INTP녀 5w6,9,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&menuid=17&boardtype=L&page=1&articleid=560879
2,추천,엔팁분들중에 '안정'속에서 허무함을 느꼈던 경험이 있나요?,ENTP 큐잉,7,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&menuid=17&boardtype=L&page=1&articleid=560738
3,564421,인팁에게 고백이란 뭘까요,쑤아 intp 5w6,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=17&boardtype=L&articleid=564421&referrerAllArticles=false
4,564400,인팁분들 아재개그 좋아하시는분 있나용,엔팁으로 체인지,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=17&boardtype=L&articleid=564400&referrerAllArticles=false
5,564396,인팁! 조금만 티를내줘요..,핫촤촷ISFP,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=17&boardtype=L&articleid=564396&referrerAllArticles=false
6,564380,엔팁 남자 질문을 받아보아요,카블 ENTP,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=17&boardtype=L&articleid=564380&referrerAllArticles=false
7,564367,엔팁분들이 손절을 맘 먹을때는 언제인가요?,뽀잉 ENTP 4w5,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=17&boardtype=L&articleid=564367&referrerAllArticles=false
8,564319,인팁과 연애할 때 주의할 점!,ENxTJ,2,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=17&boardtype=L&articleid=564319&referrerAllArticles=false
9,564251,인팁한테 다짜고짜 빼빼로 주면 어때요?ㅠㅠ,잉뿌제 INFJ,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=17&boardtype=L&articleid=564251&referrerAllArticles=false
10,564210,여기서 물고기를 찾아보세요!!,둘리intp,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=17&boardtype=L&articleid=564210&referrerAllArticles=false
11,564209,저랑 얘기하실 분..!,엔팁으로 체인지,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=17&boardtype=L&articleid=564209&referrerAllArticles=false
12,564207,샤키노바 테스트 했는데 엔팁 성장과정,오예오ENTP 3w4 sxso,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=17&boardtype=L&articleid=564207&referrerAllArticles=false
13,564178,엔팁 애인한테,wHoa ENFJ,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=17&boardtype=L&articleid=564178&referrerAllArticles=false
