,번호,제목,작성자,좋아요,주소
0,추천,ESFJ가 이성을 만날 떄 가장 중요하게 생각하는 것.txt,ESFJ댕구,9,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&menuid=13&boardtype=L&page=1&articleid=562279
1,추천,드디어 isfj랑 연애해요🙈,풍이 ENFJ,8,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&menuid=13&boardtype=L&page=1&articleid=563683
2,추천,잇프제 제일 귀여워,마음만은 f,3,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&menuid=13&boardtype=L&page=1&articleid=562821
3,564456,isfj 남자- 속마음?,히리콩,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=564456&referrerAllArticles=false
4,564426,오늘 휴무라 심심...질문받아요!!!,charlottey,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=564426&referrerAllArticles=false
5,564393,잇프제님들~,파시라솔,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=564393&referrerAllArticles=false
6,564273,나쁜 남자 좋아하는 성격,으니유,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=564273&referrerAllArticles=false
7,564252,남자isfj 님들은 호감표시 어떻게하나요?,엥뿌삥,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=564252&referrerAllArticles=false
8,564200,isfj님들은 아무 생각없는 상태로 있으실수있나요?,선과 선,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=564200&referrerAllArticles=false
9,564141,ESFJ 와 ISFJ의 가장 큰 차이는 뭐인것 같나요?,풍덩풍덩,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=564141&referrerAllArticles=false
10,564134,잇프제님들 질문 많이하세요?,인 프 피 에 요,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=564134&referrerAllArticles=false
11,564041,잇프제를 소개받았는데ㅠㅠ,마지막검사 ENFP,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=564041&referrerAllArticles=false
12,563927,잇프제 소개팅남 망설이고 있는 거일까요?,왜용 ENFJ,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=563927&referrerAllArticles=false
13,563899,수수께끼식 대화법,isfj 사과배,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=563899&referrerAllArticles=false
14,563840,잇.엣프제 여러분,cdy3674,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=563840&referrerAllArticles=false
15,563796,잇프제 여자분들 질문이요!,카블 ENTP,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=563796&referrerAllArticles=false
16,563770,ESFJ 장단점?,토깽infpj,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=563770&referrerAllArticles=false
17,563683,드디어 isfj랑 연애해요🙈,풍이 ENFJ,8,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=563683&referrerAllArticles=false
18,563617,엣잇프제님들 애교 많나요?,렛서판다 istp,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=563617&referrerAllArticles=false
19,563531,잇프제는 빈말 잘하나요?,엔프제뀽,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=563531&referrerAllArticles=false
20,563526,잇프제분들 외모 얼마나 따지세요?,초록 ISFJ,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=563526&referrerAllArticles=false
21,563440,왜 esfj들은 istp들을 좋아하나요?,안녕하세47,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=563440&referrerAllArticles=false
22,563294,Isfj의 이별후연락,istpzzz,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=563294&referrerAllArticles=false
23,563282,잇프제 남성분들 공감하시나용,왜용 ENFJ,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=563282&referrerAllArticles=false
24,563236,isfj는 상대방에게 궁금한게 원래 좀 없나요?~,로뎅 esfp,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=563236&referrerAllArticles=false
25,563144,잇프제 저에게 호감이 있는걸까요?,ENTJ임,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=563144&referrerAllArticles=false
26,563040,ESFJ 엣프제 말투에 대하여,망고초콜릿INFJ,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=563040&referrerAllArticles=false
27,563023,엣프제 남자분들 질문이요!!,천생엔뿌제,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=563023&referrerAllArticles=false
28,563018,잇프제 여자분들 관심있는데 아무 표현이 없을 수가 있나요?,초록 ISFJ,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=563018&referrerAllArticles=false
29,562987,"잇프제,,,주말순삭이요..!",쑤쑤님,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=562987&referrerAllArticles=false
30,562942,Esfj남자 무슨 생각인걸까요?,cdy3674,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=562942&referrerAllArticles=false
31,562906,가끔씩 잇프제 노잼노잼하시는데 얼마나 노잼인가요? 🤔,예사소년enfp,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=562906&referrerAllArticles=false
32,562900,잇프제분들 전화 좋아하시나요?,ESFP 수댕,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=562900&referrerAllArticles=false
33,562864,esfj 여자 질문 받습니다!,esfj엣푸제,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=562864&referrerAllArticles=false
34,562821,잇프제 제일 귀여워,마음만은 f,3,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=562821&referrerAllArticles=false
35,562799,4년 연애의 끝,태어날때부터잇프제,3,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=562799&referrerAllArticles=false
36,562756,isfj 속마음 얘기 잘 안 하죠?,djrjrjcjx,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=562756&referrerAllArticles=false
37,562718,isfj남자분 선물!!!,entp귀재,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=562718&referrerAllArticles=false
38,562678,잇프제는 친해지면 다 보여주는 것 같아요,렛서판다 istp,3,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=562678&referrerAllArticles=false
39,562642,ISFJ뭐라고 읽나여 쉽게 발음~~,슈피아민트,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=562642&referrerAllArticles=false
40,562630,잇프제 남자분들!,파시라솔,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=562630&referrerAllArticles=false
41,562623,유형별 읽씹 안읽씹에 대해,보이 ISFJ,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=562623&referrerAllArticles=false
42,562452,isfj 선물질문이요.!!,INFPㅋㅋㅋ,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=562452&referrerAllArticles=false
43,562279,ESFJ가 이성을 만날 떄 가장 중요하게 생각하는 것.txt,ESFJ댕구,9,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=562279&referrerAllArticles=false
44,562110,교수님,태어날때부터잇프제,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=13&boardtype=L&articleid=562110&referrerAllArticles=false
