,번호,제목,작성자,좋아요,주소
0,추천,ISFP 잇프피 특징 vol. 3,버블티 ISFP 1w9,50,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&menuid=16&boardtype=L&page=1&articleid=562015
1,추천,INFJ인 내가 ISFP가 좋은 이유.,혼냐 INFJ 9w1,17,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&menuid=16&boardtype=L&page=1&articleid=564203
2,추천,강유미의 mbti isfp는 왜 안나오나요,잇프피0,3,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&menuid=16&boardtype=L&page=1&articleid=562494
3,564465,강유미의 isfp 보셨어용?,퇴사하고싶은과장,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=16&boardtype=L&articleid=564465&referrerAllArticles=false
4,564409,isfp분들 음악취향이 어케되요?,찐찐isfp,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=16&boardtype=L&articleid=564409&referrerAllArticles=false
5,564391,잇프피 ㅠㅠ,AEntj,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=16&boardtype=L&articleid=564391&referrerAllArticles=false
6,564346,잇프피 남자분들.. !!,ESFJ 이니,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=16&boardtype=L&articleid=564346&referrerAllArticles=false
7,564317,잇프피 분들 옷이나,오예오ENTP 3w4 sxso,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=16&boardtype=L&articleid=564317&referrerAllArticles=false
8,564225,잇프피는 염탐을 하나요?!,이프레 enfj,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=16&boardtype=L&articleid=564225&referrerAllArticles=false
9,564216,귀여운 잇프피..,오예오ENTP 3w4 sxso,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=16&boardtype=L&articleid=564216&referrerAllArticles=false
10,564203,INFJ인 내가 ISFP가 좋은 이유.,혼냐 INFJ 9w1,17,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=16&boardtype=L&articleid=564203&referrerAllArticles=false
11,564169,사키노바 해석해주실 분...? (찐 잇프피인듯???),사롱 isfp,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=16&boardtype=L&articleid=564169&referrerAllArticles=false
12,564112,잇프피가 좋아한다는 말 들었을 때,체크체크,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=16&boardtype=L&articleid=564112&referrerAllArticles=false
13,564102,ISFP친구 다이어트 방해하고 왔어요,Enfp민,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=16&boardtype=L&articleid=564102&referrerAllArticles=false
14,564024,잇프피 남친 생일선물 추천해주세요 제발,다지ENFP,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=16&boardtype=L&articleid=564024&referrerAllArticles=false
15,564020,ISFP 랑 ESFP 친구사이좀 알려주세요!,라니뿡뿡,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=16&boardtype=L&articleid=564020&referrerAllArticles=false
16,563950,아픈 잇프피남,심심한ESTP,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=16&boardtype=L&articleid=563950&referrerAllArticles=false
17,563854,잇프피 분들은,오예오ENTP 3w4 sxso,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=16&boardtype=L&articleid=563854&referrerAllArticles=false
18,563732,이 엣프피랑 계속 연락할지 고민,에이이에스,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=16&boardtype=L&articleid=563732&referrerAllArticles=false
19,563724,엣프피 생각이 궁금해요,아으,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=16&boardtype=L&articleid=563724&referrerAllArticles=false
20,563644,헤어지고 구여친 맞팔하는 심리 뭘까요,ENFP 허밍,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=16&boardtype=L&articleid=563644&referrerAllArticles=false
21,563637,잇프피분들..남들 일정 기억하시나요?,isfp여,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=16&boardtype=L&articleid=563637&referrerAllArticles=false
22,563605,ISFP는 남녀노소 가리지 않고 잘 누워있나요?,웬즈데이걸INFP,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=16&boardtype=L&articleid=563605&referrerAllArticles=false
