,번호,제목,작성자,좋아요,주소
0,추천,ESTJ의 스윗함,INTP 한설,14,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&menuid=11&boardtype=L&page=1&articleid=561018
1,추천,자신감의 원천은,ESTJ 8w9,9,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&menuid=11&boardtype=L&page=1&articleid=562168
2,추천,요즘 밖에서 mbti 먼저 물어보는 사람 자연스레 믿거하게 되네요,NH EXXJ,4,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&menuid=11&boardtype=L&page=1&articleid=562725
3,564466,estj님들 스트레스 많으신가요?,봉봉 estj,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=11&boardtype=L&articleid=564466&referrerAllArticles=false
4,564432,istj는 정말 결정적일때 사람이 무서워지는거같아요 (조언부탁 ㅠㅠ),퇴사하고싶은과장,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=11&boardtype=L&articleid=564432&referrerAllArticles=false
5,564365,ESTJ여 질문 받아보고 싶어요!!,ESTJ 사라,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=11&boardtype=L&articleid=564365&referrerAllArticles=false
6,564183,ISTJ 잇티제 데이트할 때 볼 수 있는 특징들은? | 연애 | 플러팅 | 플로타곤 | MBTI | 3분 43초,잇티제월드,2,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=11&boardtype=L&articleid=564183&referrerAllArticles=false
7,564027,Istj 연애 방식은 어떤가요??,쟈카 infp,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=11&boardtype=L&articleid=564027&referrerAllArticles=false
8,564006,타이핑 알바를 선호하는 MBTI는 뭘까요?,분석 ISTJ,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=11&boardtype=L&articleid=564006&referrerAllArticles=false
9,564001,잇티제분들이랑 연인으로 잘 맞는 성격,젠오,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=11&boardtype=L&articleid=564001&referrerAllArticles=false
