,번호,제목,작성자,좋아요,주소
0,추천,🧸 어릴때 부터 S는 티가난다,구름이참예뻐요,9,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&menuid=15&boardtype=L&page=1&articleid=561059
1,추천,잇팁 남친 파악하기,엣팁eee,8,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&menuid=15&boardtype=L&page=1&articleid=563535
2,추천,엣팁 너무 재밌어요,쪼끄만인픞,4,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&menuid=15&boardtype=L&page=1&articleid=561371
3,564438,공부도 엣팁스러움....,ESTP스러운,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=15&boardtype=L&articleid=564438&referrerAllArticles=false
4,564407,엣팁으로 바뀐 기념,estp 대창 7w6,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=15&boardtype=L&articleid=564407&referrerAllArticles=false
5,564373,잇팁은 애인과 친구 만남 자리 만드나요?,시쿤 ISTJ,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=15&boardtype=L&articleid=564373&referrerAllArticles=false
6,564370,Estp분들 연인과 헤어지고나서,cdy3674,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=15&boardtype=L&articleid=564370&referrerAllArticles=false
7,564293,인간관계(isfj친구문제),지쮸istp,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=15&boardtype=L&articleid=564293&referrerAllArticles=false
8,564248,Istp 여자친구한테 차였어요...,Asksoal1,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=15&boardtype=L&articleid=564248&referrerAllArticles=false
9,564220,istp 잇팁분들 남한테 의지하는거 죽을만큼 싫으세요?,ISTP모여라,2,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=15&boardtype=L&articleid=564220&referrerAllArticles=false
10,564190,주위에 ISTP 분들이 많네요. 매력적인 잇팁😄,moses INTP,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=15&boardtype=L&articleid=564190&referrerAllArticles=false
11,564185,잇팁분들..! 연락에 대해 질문드려용,이암무,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=15&boardtype=L&articleid=564185&referrerAllArticles=false
12,564070,비가 오는 날엔 10명 중 몇 명이 우울해할까요??,다중이 istp,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=15&boardtype=L&articleid=564070&referrerAllArticles=false
13,564014,ESTP 분들 궁금한거 있어요,person푸피,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=15&boardtype=L&articleid=564014&referrerAllArticles=false
14,563983,ESTP분들은 이상형이 딱히 안 정해져 있어요?,몰랑 INFP,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=15&boardtype=L&articleid=563983&referrerAllArticles=false
15,563849,ESTP는 기억나는데도 안나는척 잘하나요?,찐찐isfp,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=15&boardtype=L&articleid=563849&referrerAllArticles=false
