,번호,제목,작성자,좋아요,주소
0,추천,책을 광적으로 좋아하는 유형은 뭔가요? 📚,예사소년enfp,16,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&menuid=128&boardtype=L&page=1&articleid=560768
1,추천,mbti 유형별 전 세계 나라 분포도 📊,예사소년enfp,13,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&menuid=128&boardtype=L&page=1&articleid=562396
2,추천,연락에 그만 상처받자,억젠,9,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&menuid=128&boardtype=L&page=1&articleid=562435
3,564455,유형감별 같이 부탁드려용!!(인프제일까요?),오예오ENTP 3w4 sxso,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=128&boardtype=L&articleid=564455&referrerAllArticles=false
4,564357,이 사람 무슨 유형인것같나요? (인간관계 ㅠㅠ힘듭니다),ENFJ 돼디,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=128&boardtype=L&articleid=564357&referrerAllArticles=false
5,564332,사키노바 테스트... 의미 해석이 어려워요ㅠㅠㅠ,ENFJ 메리,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=128&boardtype=L&articleid=564332&referrerAllArticles=false
6,564318,울아빠는 무슨 유형일까요~?,병맛intpA 5w6,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=128&boardtype=L&articleid=564318&referrerAllArticles=false
7,564283,감정을 경험으로만 아는건 무슨기능일까요? or 잇프제일까요 잇티제에 가까울까여?,ISFJ si 3w2,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=128&boardtype=L&articleid=564283&referrerAllArticles=false
8,564279,ENTJ와 ENFJ ..,빈콩콩,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=128&boardtype=L&articleid=564279&referrerAllArticles=false
9,564040,INTP INFP INFJ 중 뭘까요?,illlliii,2,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=128&boardtype=L&articleid=564040&referrerAllArticles=false
10,563955,여성분들 mbti 유형별 눈동자 궁예! 👀,예사소년enfp,7,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=128&boardtype=L&articleid=563955&referrerAllArticles=false
11,563821,저도 사키노바 8기능좀 봐주세요..infp갑툭튀,IstpZzz5w6,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=128&boardtype=L&articleid=563821&referrerAllArticles=false
12,563800,홍정욱 에세이 읽다가 유형 궁금해졌어요ㅎㅎ,하미하미요 estj,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=128&boardtype=L&articleid=563800&referrerAllArticles=false
13,563710,애니어 해석할줄 아시는분,Entp입니다리,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=128&boardtype=L&articleid=563710&referrerAllArticles=false
14,563702,infp infj 유형 감별,무뭉 INFx,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=128&boardtype=L&articleid=563702&referrerAllArticles=false
15,563616,51 49는 정말..,카블 ENTP,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=128&boardtype=L&articleid=563616&referrerAllArticles=false
16,563403,isfp infp 큰 차이점이 뭘까요?!,옴뇸뇸 entx,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=128&boardtype=L&articleid=563403&referrerAllArticles=false
17,563329,김연아 선수 ESFJ보다 ESTJ같지 않나요?,IstpZzz5w6,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=128&boardtype=L&articleid=563329&referrerAllArticles=false
18,563265,유형 궁예 도와주실분!,Amelia INTJ,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=128&boardtype=L&articleid=563265&referrerAllArticles=false
19,563214,"mbti 16 유형, 성비 퍼센티지 📊 👦👧",예사소년enfp,6,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=128&boardtype=L&articleid=563214&referrerAllArticles=false
20,563058,해석 도와주실래요? :D,INTPJ 3w4,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=128&boardtype=L&articleid=563058&referrerAllArticles=false
21,563011,이분 유형 뭘까요?,병맛intp 5w6,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=128&boardtype=L&articleid=563011&referrerAllArticles=false
22,563000,잇프제랑 잘맞는..,암쏘해피,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=128&boardtype=L&articleid=563000&referrerAllArticles=false
23,562968,이거 결과 어떻게 보는건가요!?,프프프핫,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=128&boardtype=L&articleid=562968&referrerAllArticles=false
