seq,title,writer,content
1,붕어빵 ㅋㅋ,강신12,이제 붕어빵의 계절이 돌아왔네요 요즘 날씨가 정말 추워지더라고요 어제도 진짜 깜짝 놀랐어요 너무 추워서  근데 그래도 겨울에 좋은 점은 붕어빵을 먹을 수 있다는 거 그게 장점이라고 생각합니다 그리고 추운날 장판 켜놓고 따뜻하게 있는 것도 좋구요  오늘도 날씨 춥다고 하는데 다들 날씨 추우니까 감기 조심하시구요 따뜻하게 입으시구요 컨디션 조절 잘 하세요
2,빼빼로 먹는날🤎,소라게 ENFJ,오늘은 빼빼로데이네요! 11월 11일!저는 11이라는 숫자가 모양이 이뻐서 좋아해요암튼 오늘은 친구들이랑 빼빼로 교환을 하기로 했어요! 자그마치 13명.. 제가 엔프제인 이유를 알게 된 것 같달까요 오늘 하루 잘 보내세요!
3,아침으로 먹을 맘모스빵을 사왔어요.😋,예사소년enfp,"맘모스가 일찍부터 멸종된 이유가 있다.킥킥.새벽부터 부리나케 나가서 맘모스빵을 사왔는데,여기 맘모스빵은 딱딱하지도 않고 무엇보다 크림이 부드럽고 딸기잼도 연해서 덜 달고 딱 좋아요.여러분들은 아침으로 무엇을 드실건가요?"
4,미라클 모닝 8일차.,RDFS INTJ,"좋은 아침입니당사실 요즘 미라클 모닝이 익숙해진 탓인지 감회가 그리 새롭지가 않아요. 게다가 아침이면 카페에 가서 공부를 하곤 하는데, 운동하고 씻고 밥을 먹어도 카페가 문을 열 시간이 되지않아 아까운 시간을 보내고 있다고 생각해요.그래서 내일부터는 6시에 일어나볼까 생각합니다. 항상 45시간 자고 낮잠 1시간을 자는 루틴이었는데 그걸 한시간만 좀 땡겨볼까해요익숙한건 당연히 좋지만, 때로는 독이 될 수 있다는걸 다시 한번 깨닫는 경험이네요. 역시 뭐든 장점이 있으면 단점이 있겠죠.더해서 익숙함을 깨고자 1시간 당기는건 물론이고 카페 장소도 아예 다른 동네로 바꿔볼까 생각중입니다 저는 참 같은 환경에서 꾸준히하는게 정말 어려운 것 같아요. 그래도 해결방안을 찾으니 한결 나아지는 것 같습니다오늘도 다들 파이팅입니다!"
5,"인팁이 분석능력 있어서 참 좋다.,",병맛intpA 5w6,"우리 인팁 장점 별로 없지만 분석능력 하나는 좋아요.estj남편이 사업하는데 사람가지고 노는 냉혈한 대표님들 종종 있어요. 제 남편이 일을 잘하기 때문에 견제 대상 될 때가 많아서 판 짤 때 대부분 혼자 당하는 위치가 되는데요.남편은 스트레스 받아해요. t긴 t인데 정이 참 많은 t라서,, 남편은 다른대표회사 금전적 이득 많이주고도 판짜면 남편을 죽이는 위치에 놓아요,일 얘기 잘안하는데 당하고있는 일은 가끔 꺼내더라고요.한 3 번쯤 꺼내면 나보고 분석하라는건가?? 싶어서. 방금 컴퓨터에 앉아서 분석하고 왔어요. 80이상 분석 했는데 내일 일어나서 남편이 읽고 나머지는 남편이 알아서 할거에용 ! estj랑 intp이 이렇게 잘맞는다니까요? intp이 정보주면 estj가 행동하면 분담 딱 되죠!아니 저걸 왜 모르지? 해도 당하는사람은 이해가 안 될 수 있어요.내가 이렇게 까지 해줬는데 사람이라면 그러면 안되거든요. 그치만 회사대표라면 그럴 수가 있었네요. "
6,마땅히 해야 할 일,넬리치 ENFJ 9w1,"영어 지문 하나에 3분 30초가 주어진 문제 독해는 1분 45초에 해냈고, 2분 10초가 주어진 문제는 56초만에 해냈다. 당연하다아님 나는 영어 쌤이니까.아니 당연하지 않다. 내가 노력한 거니까.새벽이 자신에게 있어 가장 활동력이 높다고 한 친구가 있다. 그 친구는 아이디어를 구상하고 작품을 만들어냈다. 그렇게 새벽 내내 친구는 일을 한다. 그리고, 가장 힘들어하는 낮을 피하는 수단은 잠뿐인 것처럼 눈을 붙이곤 했다. 친구는 작품을 전시해놓고 평가는 사람들의 몫으로 돌리고 잠에 빠져든다.친구의 작품은 밤을 거쳐 새벽을 견뎌 만들어진 산물인데, 사람들의 평은 그에 비해 아주 짧다. 그 친구의 노고를 아는지 모르는지, 비아냥 거리는 사람도 많다. 친구는 그마저도 자신이 듣고 싶은 대로 듣는다. 잠이 모자란 날은 씹어먹을 자양분으로 삼고, 괜찮은 날은 칭찬으로 듣기도 하며, 자신을 일하게 하는 채찍으로 여기기도 한다.나는, 꼴랑 1시간 수업하기 위해 매일 공부하고 노력한다. 친구는 꼴랑 평 한줄을 받기 위해 새벽 내내 깨어있는다. 그 뒤에 숨어 있는 노력이 평가절하 되는 거 같지만, 우린 불평하지 않는다. 우린 그냥 즐긴다. 그냥 묵묵히 해낸다. 그게 우리 일이니까. 감정을 꺼내놓는 게 두려운 밤이었다. 나조차 이름 붙여주지 못한 감정들을 꺼내놓을 용기가 나질 않았다. 공부를 하니 괜찮아지는 것도 같다. 글에 쓴 친구는, 회사 여기 저기서 스카웃 제의가 들어왔지만 끝내 몸이 못버텨낮을 힘들어 함 본인의 작업실에서 혼자 일한다. 그 친구에게 정말 필요한 건, 작품에 대한 평가가 아니라, 그 친구의 노고를 알아주는 게 아니었을까 하고 생각해보게 된다. 지루하고 힘겨운 시간을 견뎌낸 것에 대한."
7,My type,멜랑꼴리ENTPj 1w8,외향이 이렇게 높나 어닌데
8,진인사대천명,위대한 냥냥이,"인간으로써 해야할 일을 다하고하늘의 명을 기다린다나는 아직 진인사 중, 속세에서의 나의 일을 다하자.여러분의 진인사는 무엇인가요?!"
9,여자가 남자를 먼저 챙기다니,우지 핑크대지 ENTJ,기분 좋네요수제라고 하네요
10,넘 추워져서 샤워하기 힘들어요 엉엉,냥ㄴ,낼 샤워하기 싫어서 자기 싫어용 엉엉넘 추워 화장실 
