seq,title,content,rdate
1,"코스피, 0.31% 떨어진 2,960.20에 마감","코스피가 어제보다 9.07포인트, 0.31% 떨어진 2,960.20에 거래를 마쳤습니다.개인은 3천6백억 원 넘게 순매수했지만 외국인이 천2백억여 원, 기관이 2천7백억여 원 각각 순매도하면서 지수 하락을 이끌었습니다.코스닥지수는 1.13포인트, 0.11% 오른 1002.48에 장을 마쳤습니다.서울 외환시장에서 원/달러 환율은 2.1원 내린 1,183.1원에 마감했습니다.YTN 강희경 (kanghk@ytn.co.kr)",
2,"코스피, 0.47% 하락 2,969.27 마감","코스피가 전날보다 13.95포인트, 0.47% 내린 2,969.27에 거래를 마쳤습니다.개인이 3천8백억 원 이상, 외국인이 400억 원 이상 순매수했지만 기관이 4천4백억 원 이상 순매도해 지수 하락을 이끌었습니다.코스닥지수는 0.08포인트, 0.01% 내린 1,001.35에 마감했습니다.서울 외환시장에서 원/달러 환율은 2.6원 오른 1,185.2원에 마감했습니다.YTN 박병한 (bhpark@ytn.co.kr)",
3,"코스피, 미국 FOMC 안도감에 소폭 상승...3,000선 회복은 실패","미국 연방준비제도의 연방공개시장위원회, FOMC 정례회의 결과 발표 이후 코스피가 소폭 상승했지만 3,000선을 회복하지 못한 채 장을 마감했습니다.코스피는 어제보다 7.51포인트, 0.25% 오른 2,983.22에 거래를 마쳤습니다.FOMC와 관련한 불확실성이 해소됐고, 기준금리를 바로 올리지 않겠다는 등 예상보다 시장 친화적인 발언이 나오면서, 코스피는 오전 한때 3,010선을 넘보기도 했습니다.다만 개인이 6,554억 원어치를 순매도하는 등 차익을 실현하려는 매물이 나오면서, 오름폭을 끝까지 유지하진 못했습니다.코스닥지수는 어제보다 3.57포인트, 0.36% 내린 1,001.43에 거래를 마쳤습니다.서울 외환시장에서 원/달러 환율은 1.0원 오른 1,182.6원에 마감했습니다.YTN 강희경 (kanghk@ytn.co.kr)",
5,"코스피, 1.25% 하락 2,975.71 마감","코스피가 1% 넘게 하락하며 다시 3,000선 아래로 내려갔습니다.코스피는 전날보다 37.78포인트, 1.25% 하락한 2,975.71로 마감했습니다.유가증권시장에서 처음 상장된 카카오페이는 시초가 18만 원보다 7.22% 오른 19만3천 원에 거래를 마쳤고, 공모가 9만 원 대비 상승률은 114.44%였습니다.코스닥지수는 전날보다 4.44포인트, 0.44% 내린 1,005.00에 거래를 마쳤습니다.서울 외환시장에서 원/달러 환율은 7.2원 오른 1,181.6원에 마감했습니다.YTN 박병한 (bhpark@ytn.co.kr)",
6,[생생경제] 셀트리온 자사주 매입..의지만 있다면 충분히 가능할 것,"■ 방송 : YTN 라디오 FM 94.5 (15:00~16:00)■ 진행 : 권혁중 경제평론가■ 방송일 : 2021년 11월 02일 (화요일)■ 대담 : 김대종 세종대 경영학부 교수* 아래 텍스트는 실제 방송 내용과 차이가 있을 수 있으니 보다 정확한 내용은 방송으로 확인하시기 바랍니다.[생생경제] 셀트리온 자사주 매입..의지만 있다면 충분히 가능할 것",
7,"코스피, 1.16% 상승 3,013.49 마감","코스피가 34.55포인트, 1.16% 오른 3,013.49에 마감했습니다.개인이 1조 원 이상을 순매도했지만 외국인이 3천1백억 원 이상, 기관이 7천6백억 원 이상을 순매수해 지수 상승을 이끌었습니다.코스닥은 10.87포인트, 1.09% 상승해 1,009.44에 거래를 마쳤습니다.서울 외환시장에서 원/달러 환율은 2.1원 내린 1,174.4원에 마감했습니다.YTN 박병한 (bhpark@ytn.co.kr)",
8,"코스피, 0.28% 상승 2,978.94 마감","코스피가 전 거래일보다 8.26포인트, 0.28% 오른 2,978.94에 거래를 마쳤습니다.개인이 2천7백억 원 이상, 외국인이 3천5백억 원 이상을 순매도했지만 기관이 6천3백억 원 이상 순매수해 지수 상승을 이끌었습니다.코스닥지수는 6.24포인트, 0.63% 오른 998.57로 마감했습니다.서울 외환시장에서 원/달러 환율은 7.9원 오른 1,176.5원에 거래를 마쳤습니다.YTN 박병한 (bhpark@ytn.co.kr)",
9,이번 달 코스피 하루 평균 거래 11.7조...1년 만에 최저,"코스피가 좀처럼 힘을 쓰지 못하면서 거래대금도 1년 만에 최저 수준으로 떨어졌습니다.한국거래소 자료를 보면 이번 달 코스피의 하루 평균 거래대금은 11조 7,500억 원으로 집계됐습니다.이는 지난해 10월 10조 8,500억 원을 기록한 뒤 가장 낮은 수준입니다.특히 코스피가 치솟던 지난 1월의 하루 평균 거래대금 26조 4,800억 원에 비하면 절반에도 미치지 못하는 수준입니다.코스피 거래대금은 대체로 지수와 연동되는데, 증시가 지지부진할수록 감소하는 편입니다.YTN 조태현 (choth@ytn.co.kr)",
10,"코스피, 0.31% 떨어진 2,960.20에 마감","코스피가 어제보다 9.07포인트, 0.31% 떨어진 2,960.20에 거래를 마쳤습니다.개인은 3천6백억 원 넘게 순매수했지만 외국인이 천2백억여 원, 기관이 2천7백억여 원 각각 순매도하면서 지수 하락을 이끌었습니다.코스닥지수는 1.13포인트, 0.11% 오른 1002.48에 장을 마쳤습니다.서울 외환시장에서 원/달러 환율은 2.1원 내린 1,183.1원에 마감했습니다.YTN 강희경 (kanghk@ytn.co.kr)",
11,"코스피, 0.47% 하락 2,969.27 마감","코스피가 전날보다 13.95포인트, 0.47% 내린 2,969.27에 거래를 마쳤습니다.개인이 3천8백억 원 이상, 외국인이 400억 원 이상 순매수했지만 기관이 4천4백억 원 이상 순매도해 지수 하락을 이끌었습니다.코스닥지수는 0.08포인트, 0.01% 내린 1,001.35에 마감했습니다.서울 외환시장에서 원/달러 환율은 2.6원 오른 1,185.2원에 마감했습니다.YTN 박병한 (bhpark@ytn.co.kr)",
